moxima	maximata	maksamatta
senni return	zaneer ataan	saneerataan
a henni turn	ranirnitern	vähennetään
rilly a linear	lilyerlenha	veljelleni
a sexy miller	fooksumila	syksymmällä
a de jeunny	isdisen	tyttöseni
rod a reddy	walareally	varojeni
ecora go tajastay	hakelagortarty	henkilökohtaisesti
moo canna noo	morecani	mukanani
lie der tay	blairditty	lähetettiin
egerra leman	dellaleman	kävelemään
ger semella ten	dersmenalupta	työskennellyt
I a demma madon	iabdelamoto	ajattelematon
engela go gada	engelagogaka	henkilökuntaa
peen dej dare	peentestair	kiinteistöjä
me no stakka	menostakit	minustakin
go lastic	golasintoe	kyllästyttää
sovis jelad	sovisaginti	sopisivat
desgen gallego	derskindeleko	työskentelee
det delas gonast	derthdemakonpashda	työttömyyskorvausta
jella gabus city	sunagabasuni	sydänkäpyseni
e bellye metta	eparlimata	Epäilemättä
ree kennesta	newmenester	riittävästi
oozellavot pooler	douzelevata	kyselevät
mayma sunny	menasunny	mennessäni
doo pokka ris	dobakodis	tupakoida
groove destaljia	wejisdydare	ryhdistäytyä
noo a canoo	unewacanoe	minullakin
I helag	wyisalar	lajitella
I teligula	wydeleekili	Ajattelinkin
cooness kyalatow	delerskalatu	kuljeskella
arri ster egg	arrestara	järjestellä
gadday seller	kategshalla	käteisellä
yoomarra tamatay	youmeltamadi	ymmärrettävää
a summer sunday	somosonay	asemassanne
a sum untogether	sowontaykeva	samantekevää
ahoors stand ummock	wholestellda	kuulusteltava
sailor bee dett	sailorbeedipt	selvitetty
glow mee tavva	dowametava	tuomittava
vevee vo anna	vevryvolan	väkivallan
verrif demashtee	verdomestee	välittömästi
domee de tarman	doormededalek	toimitetaan
ya ter demen o	yatinameno	jättäminen
beck yer sick bed	pigisinpen	tekisitte
kenmarrag picko	irmaretico	Ymmärrättekö
mayrasig	maylisto	mielestäni
lighten a pop	ee-i-telefor	lähettänyt
forester	borsten	puolestani
my gallie sier	migrazia	meikäläisiä
perrer terra co	palatavago	palattava
